T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
142,Asia,2010,Total supply (petajoules),"233,106",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2015,Total supply (petajoules),"268,066",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2018,Total supply (petajoules),"289,730",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2019,Total supply (petajoules),"298,755",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2020,Total supply (petajoules),"294,918",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,1995,Supply per capita (gigajoules),35,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2000,Supply per capita (gigajoules),38,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2005,Supply per capita (gigajoules),46,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2010,Supply per capita (gigajoules),55,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2015,Supply per capita (gigajoules),60,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2018,Supply per capita (gigajoules),63,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2019,Supply per capita (gigajoules),65,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
142,Asia,2020,Supply per capita (gigajoules),63,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,1995,Primary energy production (petajoules),"93,645",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2000,Primary energy production (petajoules),"95,013",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2005,Primary energy production (petajoules),"103,079",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2010,Primary energy production (petajoules),"102,690",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2015,Primary energy production (petajoules),"101,380",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2018,Primary energy production (petajoules),"106,925",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2019,Primary energy production (petajoules),"107,326",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2020,Primary energy production (petajoules),"101,441",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"13,195",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"11,981",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"10,592",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"8,089",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"2,785",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"2,084",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2019,Net imports [Imports - Exports - Bunkers] (petajoules),533,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,064",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,1995,Changes in stocks (petajoules),120,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2000,Changes in stocks (petajoules),270,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2005,Changes in stocks (petajoules),582,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2010,Changes in stocks (petajoules),"-1,202",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2015,Changes in stocks (petajoules),187,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2018,Changes in stocks (petajoules),-264,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2019,Changes in stocks (petajoules),"1,771",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2020,Changes in stocks (petajoules),-604,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,1995,Total supply (petajoules),"106,720",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2000,Total supply (petajoules),"106,723",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2005,Total supply (petajoules),"113,088",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2010,Total supply (petajoules),"111,981",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2015,Total supply (petajoules),"103,979",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2018,Total supply (petajoules),"109,273",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2019,Total supply (petajoules),"106,089",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2020,Total supply (petajoules),"100,980",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,1995,Supply per capita (gigajoules),147,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2000,Supply per capita (gigajoules),147,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2005,Supply per capita (gigajoules),155,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2010,Supply per capita (gigajoules),152,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2015,Supply per capita (gigajoules),140,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2018,Supply per capita (gigajoules),146,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2019,Supply per capita (gigajoules),142,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
150,Europe,2020,Supply per capita (gigajoules),135,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,1995,Primary energy production (petajoules),"8,665",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2000,Primary energy production (petajoules),"10,647",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2005,Primary energy production (petajoules),"12,251",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2010,Primary energy production (petajoules),"14,528",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2015,Primary energy production (petajoules),"17,383",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2018,Primary energy production (petajoules),"18,551",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2019,Primary energy production (petajoules),"20,000",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2020,Primary energy production (petajoules),"20,290",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,770",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,368",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,516",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,751",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,704",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-11,874",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
9,Oceania,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,975",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
